"product_id","product_url","product_name","machine_type","model","brand","power","capacity","price","min_order","supplier_name","supplier_type","rating","years_in_business","city","state","delivery_time","warranty","platform","scrape_date","data_inserted"
"1601463878675","https://www.alibaba.com/product-detail/_1601463878675.html","Tck46 Full-Auto High Precision CNC Lathe Machine for Metal","Horizontal","TCK46","HR","7.5KW","Max. length of workpiece: 450mm","$13,900 for 1-4 sets, $12,900 for >= 5 sets","1 set","Shandong HR Machinery Co., Ltd.","Multispecialty Supplier","5.0 (based on 3 reviews)","3 years","Jinan","Shandong","14 days for 1 set, 15 days for 2-5 sets, to be negotiated for more than 5 sets","2 Years","Alibaba","2026-03-09","2026-03-09 09:18:38.293454"
"1601699902271","https://www.alibaba.com/product-detail/_1601699902271.html","DLT-40-SNT","Pipe Production Line","DLT-40-SNT","FSZHONGYONG","6000 W","15.9~54.0 mm (OD range)","$185,000 for 1 set | $184,999.98 for 2 sets","1 set","Foshan Zhongyong Automation Equipment Co, Ltd.","Custom Manufacturer","No reviews yet","3 years","Foshan","Guangdong","45 days for 1 set | 60 days for 2 sets | >2 sets: Negotiable","1 Year","Alibaba","2026-03-09","2026-03-09 09:19:10.321211"
"1600116617909","https://www.alibaba.com/product-detail/_1600116617909.html","Hot Selling Custom Manual Metal Lathe C6240 C6140","Horizontal","CA6240B/1500","FINETECH","7.5 kW (10 HP)","Max. length of workpiece: 750, 1000, 1500, 2000, 3000 mm; Max. weight of workpiece: 800 kg","$6,000 - $6,500","1 set","Tengzhou Finetech Machinery Co., Ltd.","Manufacturer, Trading Company","1 year on Alibaba.com","1 year","Tengzhou","Shandong","30 days for 1 set; To be negotiated for more than 1 set","1 Year","Alibaba","2026-03-09","2026-03-09 09:19:46.951751"
"62094252684","https://www.alibaba.com/product-detail/_62094252684.html","High Capacity Rice Color Sorter Rice Separation Machine","Color Sorter","TCS Series","Techik","2.0 - 4.2 kW (depending on model)","2-11 tons/hour (depending on model)","$40,000 for 1 unit, $35,000 for 2 or more units","1 unit","Techik Instrument (Shanghai) Co., Ltd.","Custom Manufacturer","5.0 (based on 3 reviews)","17 years","Shanghai","Shanghai","30 days for 1 unit, negotiable for more","One Year","Alibaba","2026-03-09","2026-03-09 09:20:29.922284"
"1601221164230","https://www.alibaba.com/product-detail/_1601221164230.html","Industrial Date Coding Marking Machine","Fiber Laser",NULL,"QIANXUN","20W/30W/50W/100W","10-15 kg/h","$1,080 for 1-4 sets, $1,050 for 5-49 sets, $950 for 50+ sets","1 set","Zhengzhou Qianxun Machinery Co., Ltd.","Manufacturer, Trading Company","4.8 (based on 32 reviews)","6 years","Zhengzhou","Henan","7 days for 1-50 sets, to be negotiated for more than 50 sets","1 Year","Alibaba","2026-03-09","2026-03-09 09:22:22.816818"
"1600425292251","https://www.alibaba.com/product-detail/_1600425292251.html","China Full Automatic 1000Ton Hot Forging Hydraulic Press","Hot Forging Hydraulic Press","YHA3","YIHUI","31 kW","1000 Ton","£60,810.08 - £64,610.71","1 piece","Dongguan Yihui Hydraulic Machinery Co., Ltd.","Custom Manufacturer","11 years on Alibaba","11 years","Dongguan","Guangdong","1-30 pieces: 35 days | >30 pieces: Negotiable","1 Year","Alibaba","2026-03-09","2026-03-09 09:22:58.632956"
"1601144210208","https://www.alibaba.com/product-detail/_1601144210208.html","TIJ","Inkjet Printer","T260E","DOCOD","30 Volts, 3 Amps DC output","Print height of 1-12.7mm/1-25.4mm","£149.75 - £224.24","1 set","Guangzhou Docod Precision Group Limited","Custom Manufacturer","4.9","11 years","Guangzhou","Guangdong","16 days for 1 set, to be negotiated for more","1 Year","Alibaba","2026-03-09","2026-03-09 09:23:38.556432"
"1600937659314","https://www.alibaba.com/product-detail/_1600937659314.html","Plastic Recycling Machine Plastic Bottle Hot Wash Recycling Line","Plastic Recycling Granulating","BXA-1000, BXA-2000, BXA-3000, BXA-5000","BOXIN","210-260 kW","500-5000 kg/h","$44,000 for 1 unit | $30,000 for 2 or more units","1 unit","Zhangjiagang Boxin Machinery Co., Ltd.","Custom Manufacturer","17 years on Alibaba","17 years","Suzhou","Jiangsu","90 days for 1 unit | 181 days for 2-10 units | To be negotiated for more than 10 units","1 Year","Alibaba","2026-03-09","2026-03-09 09:24:14.089772"
"1601574790084","https://www.alibaba.com/product-detail/_1601574790084.html","EP-1808 Three Axis Iron Plate Sheet Bending High-end CNC Control System Factory Made Sheet Metal Bending Machine","Synchronized","EP-1808","ERSM","7.5 kW","180 KN","$13,200 for 1 set, $12,800 for 2-4 sets, $12,000 for 5 or more sets","1 set","Rsm Machinery Co., Ltd.","Trading Company","5.0 (based on 324 reviews)","10 years","Jiangsu","China","15 days for 1 set, to be negotiated for more than 1 set","1 Year","Alibaba","2026-03-09","2026-03-09 09:25:16.306678"
"1601286264052","https://www.alibaba.com/product-detail/_1601286264052.html","1000kg 3 in 1 Multifunctional Crushed Plastic Scrap China Plastic Recycling Machinery","Granulating Production Line","SJ100","Mingxin","90 kW","300-1000 kg/h","$63,500 - $64,800","1 set","Jiangxi Mingxin Metallurgy Equipment Co., Ltd.","Custom Manufacturer","17 years on Alibaba","17 years","Ganzhou","Jiangxi","1 - 1 set: 20 days | 2 - 10 sets: 35 days | > 10 sets: To be negotiated","1 Year","Alibaba","2026-03-09","2026-03-09 09:25:54.863812"
"1601589071955","https://www.alibaba.com/product-detail/_1601589071955.html","Professional Tire Granulator Machines Complete Tire Recycling Production Line Tire Powder Recycling Plant","Tire Recycling Machine","YUXI-350","YUXI","268 kW","500-10000 kg/h","$31,890","1 set","Zhengzhou Yuxi Machinery Equipment Co., Ltd.","Manufacturer, Trading Company","4.6 (47 reviews)","10 years","Henan","China","1 set: 35 days | >1 set: Negotiable","2 Years","Alibaba","2026-03-09","2026-03-09 09:27:31.591594"
"1601579501266","https://www.alibaba.com/product-detail/_1601579501266.html","Heavy-Duty High-Precision Industrial Peanut Butter Making Machine Sesame Pistachio Hazelnut Grinder Professional Colloid Mill","Peanut Butter Making Machine","FX-110","Fusion","7.5kw","100-200 kg/h","$630-800","1 set","Zhengzhou Fusion Machinery Co., Ltd.","Manufacturer","5.0 (469 reviews)","13 years","Zhengzhou","Henan","7 days for 1-10 sets, to be negotiated for more than 10 sets","1 Year","Alibaba","2026-03-09","2026-03-09 09:28:01.058743"
"1601595997740","https://www.alibaba.com/product-detail/_1601595997740.html","Scrap Copper Wire Recycling Machine Small Waste Cable Crusher and Separate Machine","Granulator Machine","GM-S03/05/06/08 copper wire granulator","NORTHERN STAR","18.5 kW","20-30kg/h, 30-40kg/h, 50-80kg/h, 80~120kg/h","1 - 4 sets: $5,000 | 5 - 9 sets: $4,000 | >= 10 sets: $3,500","1 set","Henan Northern Star Environmental Protection Co., Ltd.","Manufacturer",NULL,"2 years","Henan","China","1 - 1 sets: 7 days | 2 - 10 sets: 15 days | 11 - 20 sets: 30 days | > 20 sets: To be negotiated","1 Year","Alibaba","2026-03-09","2026-03-09 09:28:33.993671"
"1601593239357","https://www.alibaba.com/product-detail/_1601593239357.html","CleanHorse ARES510 Bulk Purchase High Performance Commercial Auto Floor Scrubber Machine With Dual Brush for Office Building","Walk-Behind","ARES510","CleanHorse","500W","Clean Water Tank: 55L | Waste Water Tank: 60L","$599 - $699","1 set","Shandong Tianjun Environmental Technology Co., Ltd.","Custom Manufacturer","4.0 (based on 1 review)","1 year","Zibo City","Shandong Province","1 - 2 sets: 31 days | 3 - 10 sets: 35 days | 11 - 60 sets: 40 days | > 60 sets: To be negotiated","2 Years","Alibaba","2026-03-09","2026-03-09 09:29:11.201895"
"1601450799566","https://www.alibaba.com/product-detail/_1601450799566.html","Rotary Drying Machine","Rotary Drying Equipment","1500*3000, 1800*4000, 2000*4500, 2000*6000, 2200*4500","Santai Machinery","2.2 x 2 kW","8000 kg","$4,500 for 1-9 sets; $2,500 for 10 sets or more","1 set","Henan Santai Machinery Manufacturing Co., Ltd.","Custom Manufacturer","5.0 (41 reviews)","3 years","Zhengzhou","Henan","1 set: 7 days | 2-5 sets: 15 days | 6-10 sets: 25 days | More than 10 sets: To be negotiated","1 Year","Alibaba","2026-03-09","2026-03-09 09:29:36.363091"
"1601580459689","https://www.alibaba.com/product-detail/_1601580459689.html","Hot Sales Construction Works 5500 Kg 5.5 Ton Front End Loader Wheel Hydraulic Loader","Wheel Loader","H-946","Hanhui","92kw (123.37hp)","1.5m³","$3,780","1 set","Shandong Hanhui Engineering Machinery Co., Ltd.","Multispecialty Supplier","5.0 (8 reviews)","1 year","Shandong","China","1 - 1 sets: 7 days | 2 - 5 sets: 10 days | 6 - 10 sets: 20 days | > 10 sets: To be negotiated","1 Year","Alibaba","2026-03-09","2026-03-09 09:30:12.050249"
"1601194905667","https://www.alibaba.com/product-detail/_1601194905667.html","Home Freeze Dryer / Lyophilizer","Freeze Drying Equipment","HFD-9","Lanphan","2300W","12-14KG / batch","1 - 4 units: $3,130 | >= 5 units: $3,090","1 unit","Henan Lanphan Industry Co., Ltd.","Custom Manufacturer","5.0 (1 review)","10 years","Henan","China","1 - 1 units: 10 days | > 1 units: To be negotiated","1 Year","Alibaba","2026-03-09","2026-03-09 09:30:49.140447"
"1601630635268","https://www.alibaba.com/product-detail/_1601630635268.html","5000TPD dry process Cement production line","Cement Production Line","LV5000TD-1 / LV5000TD-2","LVSSN","Customized","5000 tons/day","$25,000,000 - $35,000,000","1 set","Jiangsu Lvssn Industrial Equipment Manufacturing Co., Ltd.","Custom Manufacturer","No reviews yet","1 year","Nanjing","Jiangsu","45 days for 1 set, to be negotiated for more than 1 set","1 year","Alibaba","2026-03-09","2026-03-09 09:32:38.346706"
"1601642649024","https://www.alibaba.com/product-detail/_1601642649024.html","Desktop CO2 Laser Marking Machine 20W/30W/50W/100W Air-Cooled CNC with Computer for Crystal Glass Paper Metal Leather Materials","CO2 Laser","Static carbon dioxide laser marking machine","Chenruida/Baichuang/American Coherent","20W, 30W, 50W, 100W","Marking Speed ≤12000mm/s, Marking Depth 0.1-0.5 mm","$1,619.71 - $3,591.54","1 set","Tieling Chuangyan Technology Co., Ltd.","Trading Company","1 year on Alibaba.com","1 year","Liaoning, China","Liaoning","1 - 2 sets: 10 days | 3 - 5 sets: 20 days | > 5 sets: To be negotiated","2 Years","Alibaba","2026-03-09","2026-03-09 09:33:30.297164"
"1601581260461","https://www.alibaba.com/product-detail/_1601581260461.html","CNC Copper Hydraulic Bus Bar Bending Machine","Busbar Processor","BW","BW","7.2 KW","Maximum thickness 15 mm, Maximum width 200 mm","£7,449.24 for 1-2 sets | £6,765.13 for 3 or more sets","1 set","Nanjing Bang Win Imp & Exp Co., Ltd.","Manufacturer, Trading Company","9 years on Alibaba","9 years","Jiangsu","China","40 days for 1 set | To be negotiated for more than 1 set","1 Year","Alibaba","2026-03-09","2026-03-09 09:37:37.520545"
"1600933983660","https://www.alibaba.com/product-detail/_1600933983660.html","Automatic Heavy Duty X2012A Series Conventional Gantry Milling Machine","Vertical","X2012A","Falco","0.75 kW","Max drilling capacity: 20 mm, Max milling capacity: 12 mm","1 piece: $25,600 | 2-4 pieces: $23,450 | 5-9 pieces: $19,000 | >= 10 pieces: $14,200","1 piece","Sjr Machinery Co., Ltd.","Multispecialty Supplier","4.9 (151 reviews)","6 years","Nantong","Jiangsu","1 - 1 pieces: 90 days | > 1 pieces: To be negotiated","1 Year","Alibaba","2026-03-09","2026-03-09 09:38:13.588738"
"1600910244235","https://www.alibaba.com/product-detail/_1600910244235.html","High Powerful 110V 220V 120mm 12038 AC Industrial Ventilation Exhaust Blower Axial Cooling Fan 120X120X38mm","AC Axial Fan","AC12038B","SONGLIAN","10-72W","79/94 CFM","$3 for 500 - 1,999 pieces | $260 for 2,000 - 4,999 pieces | $240 for >= 5,000 pieces","500 pieces","Shenzhen Songlian Electronics Co., Ltd.","Custom Manufacturer","4.9 (27 reviews)","6 years","Shenzhen","Guangdong","15 days for 1 - 1,000 pieces | To be negotiated for > 1,000 pieces","3 years","Alibaba","2026-03-09","2026-03-09 09:38:48.208615"
"1601561628190","https://www.alibaba.com/product-detail/_1601561628190.html","Semi-automatic rhinestone shaking machine","Rhinestone Setting Machine","LD-6040","Ledio","2000 W","Working area of 600 x 400 mm","$1,050","1 set","Guangzhou Ledio Equipment Co., Ltd.","Multispecialty Supplier","4.5 (based on 23 reviews)","17 years","Guangzhou","Guangdong","7 days for 1 set, to be negotiated for more than 1 set","1 Year","Alibaba","2026-03-09","2026-03-09 09:39:36.518888"
"60799510386","https://www.alibaba.com/product-detail/_60799510386.html","12 nozzles wax filling machine","Automatic Candle Making Machine","YD-I-12","Yide","72KW","8000 pcs/hour","$39,600 (5% off for new buyers)","1 set","Dongguan Yide Machinery Co., Ltd.","Custom Manufacturer","4.7","12 years","Dongguan","Guangdong","1-10 sets: 60 days | >10 sets: Negotiable","1 year","Alibaba","2026-03-09","2026-03-09 09:40:14.808658"
"1601519392120","https://www.alibaba.com/product-detail/_1601519392120.html","Walking Pad treadmill","Walking pad treadmill","HSM-W04L6","HSM","1.0HP","Maximum weight 100KG","$60 (for orders of 999 pieces or more)","1 piece","Ningbo Healthmate Health Technology Co., Ltd.","Custom Manufacturer","5.0 (based on 5 reviews)","2 years","Ningbo","Zhejiang","25 days for 1 - 3,000 pieces; to be negotiated for more than 3,000 pieces","1 year","Alibaba","2026-03-09","2026-03-09 09:41:13.374415"
